Date,Fixing Close,Close
09/06/2015,-0.719567,11319.75293
08/06/2015,-0.716053,11319.97809
05/06/2015,-0.715331,11320.65292
04/06/2015,-0.719242,11320.8791
03/06/2015,-0.716531,11321.10443
02/06/2015,-0.713339,11321.32877
01/06/2015,-0.713117,11321.55303
29/05/2015,-0.726401,11322.23841
28/05/2015,-0.730915,11322.46829
27/05/2015,-0.728263,11322.69734
26/05/2015,-0.732564,11322.92775
22/05/2015,-0.728206,11323.84398
21/05/2015,-0.722176,11324.07115
20/05/2015,-0.728822,11324.30041
19/05/2015,-0.730953,11324.53035
18/05/2015,-0.732412,11324.76075
15/05/2015,-0.731595,11325.45122
13/05/2015,-0.731073,11325.91122
12/05/2015,-0.734199,11326.14221
11/05/2015,-0.728317,11326.37135
08/05/2015,-0.742701,11327.07241
07/05/2015,-0.736823,11327.30425
06/05/2015,-0.733626,11327.53508
05/05/2015,-0.740706,11327.76815
04/05/2015,-0.726684,11327.99682
30/04/2015,-0.722648,11328.90646
29/04/2015,-0.715721,11329.1317
28/04/2015,-0.731493,11329.3619
27/04/2015,-0.726331,11329.59049
24/04/2015,-0.730467,11330.28019
23/04/2015,-0.717809,11330.50611
22/04/2015,-0.71993,11330.7327
21/04/2015,-0.717462,11330.95852
20/04/2015,-0.716991,11331.1842
17/04/2015,-0.719315,11331.86346
16/04/2015,-0.720577,11332.09029
15/04/2015,-0.725466,11332.31865
14/04/2015,-0.714763,11332.54366
13/04/2015,-0.716712,11332.76928
10/04/2015,-0.736016,11333.46441
09/04/2015,-0.724061,11333.69236
08/04/2015,-0.715849,11333.91773
07/04/2015,-0.730783,11334.14781
02/04/2015,-0.722826,11335.28579
01/04/2015,-0.716261,11335.51132
31/03/2015,-0.730568,11335.74136
30/03/2015,-0.716246,11335.9669
27/03/2015,-0.715555,11336.6429
26/03/2015,-0.72415,11336.87094
25/03/2015,-0.723583,11337.09881
24/03/2015,-0.705831,11337.3211
23/03/2015,-0.70567,11337.54334
20/03/2015,-0.70702,11338.21136
19/03/2015,-0.706165,11338.43378
18/03/2015,-0.702677,11338.65509
17/03/2015,-0.706447,11338.8776
16/03/2015,-0.702338,11339.09882
13/03/2015,-0.703547,11339.76366
12/03/2015,-0.702095,11339.98482
11/03/2015,-0.702508,11340.20611
10/03/2015,-0.700399,11340.42675
09/03/2015,-0.710497,11340.65057
06/03/2015,-0.714518,11341.32586
05/03/2015,-0.702942,11341.54732
04/03/2015,-0.713832,11341.77221
03/03/2015,-0.717688,11341.99832
02/03/2015,-0.726759,11342.2273
27/02/2015,-0.7561,11342.942
26/02/2015,-0.721538,11343.16935
25/02/2015,-0.716411,11343.39508
24/02/2015,-0.699542,11343.61551
23/02/2015,-0.705934,11343.83795
20/02/2015,-0.721673,11344.52021
19/02/2015,-0.735589,11344.75201
18/02/2015,-0.708534,11344.9753
17/02/2015,-0.70052,11345.19607
16/02/2015,-0.694377,11345.4149
13/02/2015,-0.707763,11346.08409
