Selections
Start Date: 2022-04-28
End Date: 2026-05-28
Selected benchmarks: Compounded ZARONIA
Report Data: Rates
Date,1-week average,1-month average,3-month average,6-month average,9-month average,12-month average,Index
2025-06-11,7.11156,7.28926,7.39626,7.55684,7.77953,8.00719,122.347684484785
2025-06-10,7.11113,7.29351,7.39902,7.55977,7.78346,8.01020,122.323863169185
2025-06-09,7.11070,7.29800,7.40424,7.56269,7.78737,8.01742,122.300039791570
2025-06-06,7.11971,7.32196,7.41061,7.57153,7.79921,8.02231,122.228631480948
2025-06-05,7.15547,7.32984,7.41335,7.57444,7.80311,8.02531,122.204823302907
2025-06-04,7.19237,7.34311,7.41614,7.57737,7.80703,8.02833,122.181046536509
2025-06-03,7.22869,7.34912,7.41893,7.58031,7.81096,8.03135,122.157267703987
2025-06-02,7.26459,7.35550,7.42091,7.58325,7.81488,8.03233,122.133486808350
2025-05-30,7.36410,7.37753,7.42856,7.59173,7.82652,8.04311,122.061965185079
2025-05-29,7.36324,7.37776,7.42782,7.59147,7.82949,8.04738,122.037353761488
2025-05-28,7.36210,7.38248,7.42707,7.59298,7.83244,8.04764,122.012747300314
2025-05-27,7.36124,7.38172,7.42714,7.59450,7.83541,8.04990,121.988152483488
2025-05-26,7.36038,7.38100,7.42721,7.59602,7.83838,8.05614,121.963565965177
2025-05-23,7.35652,7.38076,7.42920,7.60263,7.84738,8.05898,121.889820953776
2025-05-22,7.35638,7.38090,7.42853,7.60247,7.85037,8.06125,121.865264268333
2025-05-21,7.35552,7.38372,7.42788,7.60522,7.85334,8.06352,121.840719205091
2025-05-20,7.35495,7.38317,7.42793,7.60823,7.85632,8.06579,121.816179085507
2025-05-19,7.35466,7.38265,7.42801,7.61123,7.85929,8.07196,121.791647244670
2025-05-16,7.35466,7.38206,7.42943,7.62342,7.86824,8.07493,121.718096167162
2025-05-15,7.35424,7.38222,7.42877,7.62338,7.87119,8.07719,121.693577411866
2025-05-14,7.35524,7.38266,7.42819,7.62640,7.87418,8.07947,121.669086924698
2025-05-13,7.35581,7.38485,7.42828,7.62942,7.87715,8.08175,121.644594702055
2025-05-12,7.35638,7.38449,7.42834,7.63241,7.88012,8.08784,121.620104078357
2025-05-09,7.36410,7.38471,7.43048,7.64442,7.89153,8.09088,121.546656597319
2025-05-08,7.36708,7.38494,7.42986,7.64450,7.89192,8.09313,121.522182362728
2025-05-07,7.36746,7.38511,7.42922,7.64748,7.89486,8.09538,121.497703072087
2025-05-06,7.36961,7.38731,7.42929,7.65045,7.89781,8.09762,121.473232039890
2025-05-05,7.37801,7.38689,7.42932,7.65341,7.90077,8.10356,121.448762609747
2025-05-02,7.37698,7.38551,7.42821,7.66497,7.90955,8.10654,121.375239142967
2025-04-30,7.37791,7.38546,7.43032,7.66803,7.91543,8.11096,121.326276511378
2025-04-29,7.37662,7.38754,7.43677,7.67371,7.92085,8.11320,121.301790166448
2025-04-25,7.36509,7.38506,7.45155,7.68525,7.93235,8.12207,121.203764546464
2025-04-24,7.36276,7.38480,7.45094,7.68815,7.93524,8.12429,121.179292969246
2025-04-23,7.36205,7.38797,7.45378,7.69109,7.93813,8.12652,121.154849563432
2025-04-22,7.36205,7.38736,7.45666,7.69403,7.94106,8.12877,121.130427678027
2025-04-17,7.36610,7.38648,7.47101,7.70889,7.95564,8.14007,121.008424663572
2025-04-16,7.36596,7.38880,7.47389,7.71181,7.95856,8.14232,120.984032293883
2025-04-15,7.36582,7.38825,7.47684,7.71474,7.96148,8.14456,120.959644841105
2025-04-14,7.36568,7.38767,7.47968,7.71767,7.96910,8.15034,120.935258991621
2025-04-11,7.36696,7.38694,7.49146,7.72647,7.97320,8.15361,120.862086104532
2025-04-10,7.36682,7.38684,7.49141,7.72937,7.97616,8.15587,120.837719923200
2025-04-09,7.36753,7.38926,7.49431,7.73230,7.97913,8.15815,120.813365272743
2025-04-08,7.36854,7.38875,7.49717,7.73524,7.98211,8.16043,120.789015530927
2025-04-07,7.36896,7.38822,7.50002,7.73814,7.98968,8.16616,120.764667388809
2025-04-04,7.37068,7.38726,7.51127,7.74685,7.99390,8.16948,120.691567978034
2025-04-03,7.37211,7.38719,7.51145,7.74977,7.99685,8.17175,120.667239478984
2025-04-02,7.37182,7.38651,7.51432,7.75271,7.99981,8.17400,120.642902665495
2025-04-01,7.37154,7.38576,7.51448,7.75567,8.00276,8.17458,120.618564152482
2025-03-31,7.37168,7.38643,7.52024,7.75864,8.01022,8.18348,120.594240459379
2025-03-28,7.37259,7.38340,7.53156,7.76769,8.01236,8.18518,120.521204609386
2025-03-27,7.37162,7.38326,7.53185,7.76832,8.01531,8.18744,120.496877445279
2025-03-26,7.37162,7.38336,7.54011,7.77132,8.01829,8.18971,120.472581591222
2025-03-25,7.37076,7.38343,7.54053,7.77431,8.02126,8.19198,120.448284037376
2025-03-24,7.37018,7.38343,7.54098,7.77951,8.02426,8.19753,120.423991383991
2025-03-20,7.36896,7.38313,7.55277,7.78921,8.03596,8.20323,120.326767355967
2025-03-19,7.36796,7.38306,7.55574,7.79356,8.03893,8.20548,120.302505801304
2025-03-18,7.36796,7.38291,7.55873,7.79791,8.04191,8.20776,120.278262317034
2025-03-17,7.36768,7.38255,7.56169,7.80226,8.05122,8.21316,120.254017130402
2025-03-14,7.36811,7.38083,7.57276,7.81866,8.05379,8.21669,120.181187330879
2025-03-13,7.36796,7.38072,7.57359,7.81961,8.05676,8.21895,120.156958420907
2025-03-12,7.36868,7.38076,7.57668,7.82401,8.05977,8.22123,120.132754139430
2025-03-11,7.36839,7.38065,7.57968,7.82840,8.06276,8.22351,120.108544863688
2025-03-10,7.36839,7.38083,7.58268,7.83278,8.06575,8.22894,120.084340466625
2025-03-07,7.36110,7.38083,7.59311,7.84898,8.07459,8.23252,120.011603570893
2025-03-06,7.36196,7.38083,7.59418,7.85011,8.07757,8.23477,119.987412136211
2025-03-05,7.36267,7.38076,7.59715,7.85445,8.08055,8.23702,119.963225577936
2025-03-04,7.36410,7.38072,7.60012,7.85882,8.08353,8.23929,119.939057036443
